node,x,y,z
S_TP,-13376.06309,35253.44211,-3.838
S_PH,-13398.65393,35179.82205,2.05
S_OH_5F,-13302.33075,35243.34373,16.88
S_OH_4F,-13302.18385,35243.25824,12.64
S_OH_3F,-13302.63038,35242.53206,8.44
S_OH_2F,-13308.27377,35235.15117,2.11
J_TP,-13355.6131,35278.27009,-3.7
J_PH_2F_r,-13397.07737,35207.89804,4.39
J_PH_2F_l,-13425.26601,35170.30081,4.39
J_OH_5F_r,-13282.99014,35235.97503,17.88
J_OH_5F_l,-13314.0732,35259.59938,17.88
J_OH_4F_r,-13273.79633,35227.06132,13.4
J_OH_4F_l,-13325.21927,35266.36772,13.4
J_OH_3F_r,-13273.4004,35227.56415,9.1
J_OH_3F_l,-13325.25196,35266.47089,9.1
J_OH_2F_r,-13265.98168,35237.2011,4.39
J_OH_2F_l,-13321.18805,35271.52678,4.39
G_TP,-13327.30411,35302.64989,0
G_PH_r,-13382.44854,35277.11454,-0.6
G_PH_l,-13431.97965,35208.01516,-2.22
G_OH_r,-13259.61081,35271.77443,0
G_OH_l,-13286.11938,35291.77998,0
G_MAIN,-13326.92278,35289.35569,0